--- Starting Training ---
Episode  128 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02670 | Epsilon: 0.275
Episode  129 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02867 | Epsilon: 0.273
Episode  130 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04080 | Epsilon: 0.270
Episode  131 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03113 | Epsilon: 0.267
Episode  132 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03070 | Epsilon: 0.265
Episode  133 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03155 | Epsilon: 0.262
Episode  134 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03164 | Epsilon: 0.259
Episode  135 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03459 | Epsilon: 0.257
Episode  136 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03408 | Epsilon: 0.254
Episode  137 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02683 | Epsilon: 0.252
Episode  138 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02778 | Epsilon: 0.249
Episode  139 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03120 | Epsilon: 0.247
Episode  140 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03022 | Epsilon: 0.244
Episode 140: Target network updated.
Episode  141 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04698 | Epsilon: 0.242
Episode  142 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03459 | Epsilon: 0.239
Episode  143 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02631 | Epsilon: 0.237
Episode  144 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03514 | Epsilon: 0.235
Episode  145 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03632 | Epsilon: 0.232
Episode  146 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04467 | Epsilon: 0.230
Episode  147 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03683 | Epsilon: 0.228
Episode  148 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04017 | Epsilon: 0.225
Episode  149 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03538 | Epsilon: 0.223
Episode  150 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04305 | Epsilon: 0.221
Episode  151 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04132 | Epsilon: 0.219
Episode  152 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03418 | Epsilon: 0.217
Episode  153 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03695 | Epsilon: 0.214
Episode  154 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03590 | Epsilon: 0.212
