--- Starting Training ---
Episode  112 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.72855 | Epsilon: 0.206
Episode  113 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.71194 | Epsilon: 0.203
Episode  114 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.58718 | Epsilon: 0.200
Episode  115 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.71277 | Epsilon: 0.198
Episode  116 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.67117 | Epsilon: 0.196
Episode  117 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.70398 | Epsilon: 0.193
Episode  118 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.73224 | Epsilon: 0.190
Episode  119 | Reward:    16.0 | Duration:   16 | Avg Loss: 0.67965 | Epsilon: 0.188
Episode  120 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.65164 | Epsilon: 0.185
Episode 120: Target network updated.
Episode  121 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.79640 | Epsilon: 0.183
Episode  122 | Reward:    17.0 | Duration:   17 | Avg Loss: 0.80277 | Epsilon: 0.180
Episode  123 | Reward:    20.0 | Duration:   20 | Avg Loss: 0.79442 | Epsilon: 0.176
Episode  124 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.77891 | Epsilon: 0.174
Episode  125 | Reward:    18.0 | Duration:   18 | Avg Loss: 0.72265 | Epsilon: 0.171
Episode  126 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.60944 | Epsilon: 0.169
Episode  127 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.70153 | Epsilon: 0.167
Episode  128 | Reward:    19.0 | Duration:   19 | Avg Loss: 0.68863 | Epsilon: 0.164
Episode  129 | Reward:    21.0 | Duration:   21 | Avg Loss: 0.76180 | Epsilon: 0.161
Episode  130 | Reward:    23.0 | Duration:   23 | Avg Loss: 0.75395 | Epsilon: 0.157
Episode 130: Target network updated.
Episode  131 | Reward:    16.0 | Duration:   16 | Avg Loss: 1.00267 | Epsilon: 0.155
