--- Starting Training ---
Episode  143 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05652 | Epsilon: 0.275
Episode  144 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07330 | Epsilon: 0.273
Episode  145 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06517 | Epsilon: 0.271
Episode  146 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06419 | Epsilon: 0.268
Episode  147 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07329 | Epsilon: 0.266
Episode  148 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06161 | Epsilon: 0.264
Episode  149 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06228 | Epsilon: 0.262
Episode  150 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06074 | Epsilon: 0.260
Episode 150: Target network updated.
Episode  151 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08059 | Epsilon: 0.258
Episode  152 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06283 | Epsilon: 0.256
Episode  153 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07690 | Epsilon: 0.254
Episode  154 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07312 | Epsilon: 0.252
Episode  155 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06714 | Epsilon: 0.250
Episode  156 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07097 | Epsilon: 0.248
Episode  157 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07213 | Epsilon: 0.246
Episode  158 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08020 | Epsilon: 0.244
Episode  159 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06558 | Epsilon: 0.242
Episode  160 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07596 | Epsilon: 0.240
Episode 160: Target network updated.
Episode  161 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08589 | Epsilon: 0.238
Episode  162 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08048 | Epsilon: 0.236
Episode  163 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06206 | Epsilon: 0.234
Episode  164 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06665 | Epsilon: 0.232
Episode  165 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07067 | Epsilon: 0.231
Episode  166 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07584 | Epsilon: 0.229
Episode  167 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06380 | Epsilon: 0.227
Episode  168 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06963 | Epsilon: 0.225
Episode  169 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06964 | Epsilon: 0.224
Episode  170 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07831 | Epsilon: 0.222
Episode 170: Target network updated.
Episode  171 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09153 | Epsilon: 0.220
Episode  172 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08185 | Epsilon: 0.218
Episode  173 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07584 | Epsilon: 0.217
Episode  174 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08304 | Epsilon: 0.215
Episode  175 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07522 | Epsilon: 0.213
Episode  176 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06370 | Epsilon: 0.212
Episode  177 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08497 | Epsilon: 0.210
Episode  178 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09461 | Epsilon: 0.209
Episode  179 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07766 | Epsilon: 0.207
Episode  180 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06432 | Epsilon: 0.205
Episode 180: Target network updated.
Episode  181 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09273 | Epsilon: 0.204
Episode  182 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08674 | Epsilon: 0.202
Episode  183 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07469 | Epsilon: 0.201
Episode  184 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08864 | Epsilon: 0.199
Episode  185 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08422 | Epsilon: 0.198
Episode  186 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07158 | Epsilon: 0.196
Episode  187 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08051 | Epsilon: 0.195
Episode  188 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08813 | Epsilon: 0.194
Episode  189 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07153 | Epsilon: 0.192
Episode  190 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09006 | Epsilon: 0.191
Episode 190: Target network updated.
Episode  191 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10367 | Epsilon: 0.189
Episode  192 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08627 | Epsilon: 0.188
Episode  193 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08361 | Epsilon: 0.187
Episode  194 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08556 | Epsilon: 0.185
Episode  195 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07625 | Epsilon: 0.184
Episode  196 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08097 | Epsilon: 0.182
Episode  197 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09362 | Epsilon: 0.181
Episode  198 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08226 | Epsilon: 0.180
Episode  199 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08969 | Epsilon: 0.179
Episode  200 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08246 | Epsilon: 0.177
Episode 200: Target network updated.
Episode  201 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09317 | Epsilon: 0.176
Episode  202 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08047 | Epsilon: 0.175
Episode  203 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09779 | Epsilon: 0.174
Episode  204 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09158 | Epsilon: 0.172
Episode  205 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08326 | Epsilon: 0.171
Episode  206 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10150 | Epsilon: 0.170
Episode  207 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08967 | Epsilon: 0.169
Episode  208 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08607 | Epsilon: 0.168
Episode  209 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09720 | Epsilon: 0.166
Episode  210 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10223 | Epsilon: 0.165
Episode 210: Target network updated.
Episode  211 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10645 | Epsilon: 0.164
Episode  212 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10075 | Epsilon: 0.163
Episode  213 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09642 | Epsilon: 0.162
Episode  214 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09493 | Epsilon: 0.161
Episode  215 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10291 | Epsilon: 0.160
Episode  216 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08478 | Epsilon: 0.158
Episode  217 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08698 | Epsilon: 0.157
Episode  218 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08841 | Epsilon: 0.156
Episode  219 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09430 | Epsilon: 0.155
Episode  220 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08693 | Epsilon: 0.154
Episode 220: Target network updated.
Episode  221 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11178 | Epsilon: 0.153
Episode  222 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08965 | Epsilon: 0.152
Episode  223 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09108 | Epsilon: 0.151
Episode  224 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09187 | Epsilon: 0.150
Episode  225 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08124 | Epsilon: 0.149
Episode  226 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09332 | Epsilon: 0.148
Episode  227 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09569 | Epsilon: 0.147
Episode  228 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07519 | Epsilon: 0.146
Episode  229 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07746 | Epsilon: 0.145
Episode  230 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09955 | Epsilon: 0.144
Episode 230: Target network updated.
Episode  231 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11889 | Epsilon: 0.143
Episode  232 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.08532 | Epsilon: 0.142
Episode  233 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09306 | Epsilon: 0.142
Episode  234 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10962 | Epsilon: 0.141
Episode  235 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10499 | Epsilon: 0.140
Episode  236 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09305 | Epsilon: 0.139
Episode  237 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10098 | Epsilon: 0.138
Episode  238 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10331 | Epsilon: 0.137
Episode  239 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11271 | Epsilon: 0.136
Episode  240 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10027 | Epsilon: 0.135
Episode 240: Target network updated.
Episode  241 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09427 | Epsilon: 0.134
Episode  242 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10876 | Epsilon: 0.134
Episode  243 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10394 | Epsilon: 0.133
Episode  244 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10803 | Epsilon: 0.132
Episode  245 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11942 | Epsilon: 0.131
Episode  246 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09983 | Epsilon: 0.130
Episode  247 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09071 | Epsilon: 0.130
Episode  248 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.12198 | Epsilon: 0.129
Episode  249 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09416 | Epsilon: 0.128
Episode  250 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09817 | Epsilon: 0.127
Episode 250: Target network updated.
Episode  251 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10327 | Epsilon: 0.126
Episode  252 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11340 | Epsilon: 0.126
Episode  253 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11695 | Epsilon: 0.125
Episode  254 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11173 | Epsilon: 0.124
Episode  255 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11791 | Epsilon: 0.123
Episode  256 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.12383 | Epsilon: 0.123
Episode  257 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11271 | Epsilon: 0.122
Episode  258 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.10596 | Epsilon: 0.121
Episode  259 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11117 | Epsilon: 0.121
Episode  260 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11610 | Epsilon: 0.120
Episode 260: Target network updated.
Episode  261 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.13596 | Epsilon: 0.119
Episode  262 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.12978 | Epsilon: 0.118
Episode  263 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.13603 | Epsilon: 0.118
Episode  264 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09916 | Epsilon: 0.117
Episode  265 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.11785 | Epsilon: 0.116
Episode  266 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.09565 | Epsilon: 0.116
